# header: 
#   title: Np237(n,g) thermal cross section
#   source: Resonancetables
#   date: 2025-09-08
# target: 
#   Z: 93
#   A: 237
#   nuclide: Np237
# reaction: 
#   type: (n,g)
# observables: 
#   selected value [b]:  1.788000E+02
#   selected value uncertainty [b]:  2.900000E+00
#   selected value source: Mughabghab-2018
#   number of values: 645
#   average value [b]:  1.786306E+02
#   relative standard deviation [%]:      5.212610
#   quantity: 
#     type: Compilation
#     average value:  1.773500E+02
#     relative standard deviation [%]:      0.817595
#   datablock: 
#     columns: 10
#     entries: 2
##    Author                         Type           Year           Value         dValue        Reference        Ratio        Spectrum        Energy
##      []             []             []             []             [b]            [b]            []             []             []            [MeV]
      Sukhoruchkin            Compilation          2015        1.759000E+02   2.900000E+00                      0.983781                  2.530000E-08
      Mughabghab-2018         Compilation          2018        1.788000E+02   2.900000E+00                      1.000000                  2.530000E-08
#   quantity: 
#     type: Compilation spectrum-averaged
#     average value:  1.749500E+02
#     relative standard deviation [%]:      0.543011
#   datablock: 
#     columns: 10
#     entries: 2
##    Author                         Type           Year           Value         dValue        Reference        Ratio        Spectrum        Energy
##      []             []             []             []             [b]            [b]            []             []             []            [MeV]
      Mughabghab-2006         Compilation          2006        1.759000E+02   2.900000E+00                      0.983781   MXW            2.530000E-08
      Firestone-2022          Compilation          2022        1.740000E+02   3.000000E+00                      0.973154   MXW            2.530000E-08
#   quantity: 
#     type: EXFOR
#     average value:  1.789166E+02
#     relative standard deviation [%]:      4.973917
#   datablock: 
#     columns: 10
#     entries: 620
##    Author                         Type           Year           Value         dValue        Reference        Ratio        Spectrum        Energy
##      []             []             []             []             [b]            [b]            []             []             []            [MeV]
      G.Rovira                EXFOR                2020        1.869100E+02   6.503000E+00   23745-002-0        1.045358                  2.407600E-08
      G.Rovira                EXFOR                2020        1.870600E+02   6.375800E+00   23745-002-0        1.046197                  2.408000E-08
      G.Rovira                EXFOR                2020        1.961700E+02   7.180100E+00   23745-002-0        1.097148                  2.408300E-08
      G.Rovira                EXFOR                2020        1.660900E+02   5.998900E+00   23745-002-0        0.928915                  2.408700E-08
      G.Rovira                EXFOR                2020        1.828400E+02   6.379300E+00   23745-002-0        1.022595                  2.409000E-08
      G.Rovira                EXFOR                2020        1.976400E+02   6.762300E+00   23745-002-0        1.105369                  2.409400E-08
      G.Rovira                EXFOR                2020        1.898400E+02   6.702600E+00   23745-002-0        1.061745                  2.409800E-08
      G.Rovira                EXFOR                2020        1.915500E+02   6.732300E+00   23745-002-0        1.071309                  2.410200E-08
      G.Rovira                EXFOR                2020        1.905700E+02   6.426800E+00   23745-002-0        1.065828                  2.410600E-08
      G.Rovira                EXFOR                2020        1.720500E+02   6.063600E+00   23745-002-0        0.962248                  2.410900E-08
      G.Rovira                EXFOR                2020        1.883000E+02   6.493800E+00   23745-002-0        1.053132                  2.411300E-08
      G.Rovira                EXFOR                2020        1.876600E+02   6.657100E+00   23745-002-0        1.049553                  2.411600E-08
      G.Rovira                EXFOR                2020        1.795900E+02   6.284400E+00   23745-002-0        1.004418                  2.412000E-08
      G.Rovira                EXFOR                2020        1.725100E+02   6.122500E+00   23745-002-0        0.964821                  2.412400E-08
      G.Rovira                EXFOR                2020        1.833200E+02   6.488400E+00   23745-002-0        1.025280                  2.412800E-08
      G.Rovira                EXFOR                2020        1.818000E+02   6.449900E+00   23745-002-0        1.016778                  2.413200E-08
      G.Rovira                EXFOR                2020        1.801400E+02   6.507800E+00   23745-002-0        1.007494                  2.413500E-08
      G.Rovira                EXFOR                2020        1.802200E+02   6.302300E+00   23745-002-0        1.007942                  2.413900E-08
      G.Rovira                EXFOR                2020        1.730400E+02   6.064200E+00   23745-002-0        0.967785                  2.414200E-08
      G.Rovira                EXFOR                2020        1.807900E+02   6.245200E+00   23745-002-0        1.011130                  2.414600E-08
      G.Rovira                EXFOR                2020        1.893000E+02   6.544700E+00   23745-002-0        1.058725                  2.415000E-08
      G.Rovira                EXFOR                2020        1.744100E+02   6.199400E+00   23745-002-0        0.975447                  2.415400E-08
      G.Rovira                EXFOR                2020        1.798100E+02   6.421700E+00   23745-002-0        1.005649                  2.415700E-08
      G.Rovira                EXFOR                2020        1.832900E+02   6.521200E+00   23745-002-0        1.025112                  2.416100E-08
      G.Rovira                EXFOR                2020        1.889600E+02   6.733100E+00   23745-002-0        1.056823                  2.416500E-08
